2000.45	4.9
2000.96	9.8
2001.97	11.4
2002.99	1.8
2003.37	4
2004.05	2.5
2004.61	7.5
2005.08	1
2006.08	3.7
2006.81	6
2007.74	5.6
2008.52	1.3
2009.46	1.7
2009.94	3.2
2010.63	2.1
2011.76	4.7
2012.63	3.8
2013.21	1.8
2013.7	0.8
2014.21	7.5
2015.04	8.1
2015.69	5.9
2016.58	6.9
2017.12	6.5
2018.47	2
2019.32	4.2
2019.82	9.4
2020.82	3.1
2021.52	6
2022.39	6.9
2023.06	2.5
2023.6	2.7
2024.46	5.3
2024.88	0.4
2025.47	9.2
2026.61	3.7
2027.83	4.6
2029.13	10.5
2029.79	1.6
2030.43	8.2
2031.82	1.4
2032.45	2.4
2033.15	8.5
2033.69	9.6
2034.3	6.1
2035.35	8.9
2036.29	2.8
2036.77	1.9
2037.38	0.2
2037.88	6.4
2038.48	9.5
2040.24	0
2040.9	4.4
2041.42	9.4
2041.91	1.9
2042.38	4
2042.94	11
2044.13	4.9
2044.88	10.3
2045.45	7.1
2046.7	0.7
2047.94	8.2
2048.44	0
2048.9	1.9
2049.33	0.4
2049.84	6.9
2050.93	2.9
2051.51	5.2
2052.15	1.6
2052.66	0.5
2053.13	3.4
2053.51	0.1
2053.98	2.5
2055.27	3.2
2056.19	3.3
2057.12	5.1
2057.79	1.2
2058.75	5.6
2059.59	6
2060.32	10.7
2061.36	2.8
2062.26	8.5
2063.13	12.6
2064.13	1.3
2064.62	0
2065.11	0.3
2066.25	4.4
2066.76	0.1
2067.42	14.1
2068.08	1.6
2068.71	7.1
2069.63	5
2070.22	0.9
2070.7	1.1
2071.24	3.1
2071.77	5.2
2072.82	14.4
2073.44	5
2074.18	2.7
2074.85	0.2
2075.43	2.8
2076.06	1.6
2077.17	5.7
2078.1	5.1
2078.65	4.2
2079.62	7.3
2080.28	7.7
2080.81	0.1
2081.4	4.2
2082.07	1.1
2082.53	3.9
2083.11	1.1
2083.51	1.8
2084.07	0.2
2084.7	8.7
2086	0.7
2086.53	0.3
2087.15	6.8
2087.86	0.6
2088.16	0.4
2089.01	2.3
2090.23	1.5
2090.84	2.3
2091.87	3.6
2092.7	7
2093.24	1.5
2094.43	7.9
2095.04	2.3
2095.56	1.5
2096.18	3
2096.62	0.9
2097.46	3.1
2098.31	1.1
2099.55	7.5
2100.69	3.4
2101.77	3.4
2102.5	12.5
2103.54	5
2104.64	2.1
2105.46	3.4
2106.47	2.2
2108.18	7
2108.85	2.8
2109.42	7.3
2110.22	10.7
2110.87	0.7
2111.23	0.4
2111.95	3.1
2112.75	5.1
2113.52	0.4
2115.34	4
2115.98	1.8
2116.94	9.1
2117.52	9.2
2118.03	0.4
2118.97	7.5
2120.11	2.4
2120.64	0.3
2121.29	4.9
2121.97	1.8
2122.59	20.1
2123.78	9.7
2124.55	7.5
2125.47	0.1
2126.49	1.2
2127.21	0.2
2127.69	0.8
2128.28	3.1
2128.75	0.1
2129.39	9.9
2130.11	2.3
2130.63	0.6
2131.23	4.6
2131.71	0.2
2133.03	0.2
2134.13	8.7
2134.95	5
2135.49	12.7
2136.23	1.2
2137.26	10.2
2138.39	4.1
2138.93	0.2
2139.36	1.8
2139.92	9.5
2140.58	8.6
2141.31	8.7
2141.84	0.9
2142.42	0.2
2142.93	8
2144.05	4.6
2144.82	3.7
2145.87	3.5
2146.4	4.3
2147.15	3.6
2149.1	7.6
2149.73	6.6
2150.32	2.1
2150.85	0.9
